	filename	scene_label
0	audio/metro-paris-54-1582-a.wav	transportation
1	audio/street_traffic-vienna-176-5443-a.wav	outdoor
2	audio/airport-lyon-1095-40245-a.wav	indoor
3	audio/public_square-london-115-3349-a.wav	outdoor
4	audio/park-stockholm-103-2936-a.wav	outdoor
5	audio/street_pedestrian-barcelona-141-4299-a.wav	outdoor
6	audio/bus-paris-32-1003-a.wav	transportation
7	audio/park-london-96-2677-a.wav	outdoor
8	audio/airport-barcelona-1-63-a.wav	indoor
9	audio/airport-prague-1069-43326-a.wav	indoor
10	audio/street_pedestrian-helsinki-148-4470-a.wav	outdoor
11	audio/tram-barcelona-181-5605-a.wav	transportation
12	audio/metro_station-barcelona-61-1824-a.wav	indoor
13	audio/street_traffic-lyon-1110-41140-a.wav	outdoor
14	audio/metro_station-paris-80-2163-a.wav	indoor
15	audio/street_pedestrian-helsinki-146-4410-a.wav	outdoor
16	audio/metro_station-helsinki-67-1997-a.wav	indoor
17	audio/airport-helsinki-3-143-a.wav	indoor
18	audio/park-stockholm-102-2912-a.wav	outdoor
19	audio/shopping_mall-barcelona-127-3790-a.wav	indoor
20	audio/public_square-vienna-124-3688-a.wav	outdoor
21	audio/public_square-barcelona-107-3061-a.wav	outdoor
22	audio/bus-stockholm-36-1081-a.wav	transportation
23	audio/bus-lyon-1001-43587-a.wav	transportation
24	audio/bus-stockholm-35-1056-a.wav	transportation
25	audio/street_traffic-barcelona-162-4953-a.wav	outdoor
26	audio/public_square-lisbon-1116-42928-a.wav	outdoor
27	audio/bus-london-22-827-a.wav	transportation
28	audio/public_square-stockholm-120-3531-a.wav	outdoor
29	audio/street_traffic-stockholm-174-5354-a.wav	outdoor
30	audio/park-barcelona-90-2487-a.wav	outdoor
31	audio/public_square-paris-117-3418-a.wav	outdoor
32	audio/shopping_mall-prague-1031-44051-a.wav	indoor
33	audio/street_traffic-prague-1033-42233-a.wav	outdoor
34	audio/tram-prague-1086-40137-a.wav	transportation
35	audio/airport-london-5-221-a.wav	indoor
36	audio/metro-stockholm-57-1706-a.wav	transportation
37	audio/street_traffic-stockholm-173-5303-a.wav	outdoor
38	audio/public_square-vienna-124-3695-a.wav	outdoor
39	audio/shopping_mall-london-131-3941-a.wav	indoor
40	audio/bus-stockholm-36-1074-a.wav	transportation
41	audio/airport-prague-1034-41415-a.wav	indoor
42	audio/public_square-london-114-3307-a.wav	outdoor
43	audio/shopping_mall-london-131-3959-a.wav	indoor
44	audio/bus-lisbon-1070-41385-a.wav	transportation
45	audio/shopping_mall-stockholm-135-4087-a.wav	indoor
46	audio/metro-paris-54-1604-a.wav	transportation
47	audio/metro_station-london-70-2044-a.wav	indoor
48	audio/public_square-barcelona-107-3073-a.wav	outdoor
49	audio/bus-stockholm-34-1019-a.wav	transportation
50	audio/public_square-paris-118-3456-a.wav	outdoor
51	audio/park-stockholm-103-2942-a.wav	outdoor
52	audio/street_pedestrian-barcelona-144-4366-a.wav	outdoor
53	audio/shopping_mall-paris-134-4034-a.wav	indoor
54	audio/street_traffic-barcelona-163-4982-a.wav	outdoor
55	audio/street_pedestrian-helsinki-146-4424-a.wav	outdoor
56	audio/metro-london-46-1419-a.wav	transportation
57	audio/street_pedestrian-barcelona-142-4317-a.wav	outdoor
58	audio/public_square-prague-1152-43616-a.wav	outdoor
59	audio/park-london-97-2747-a.wav	outdoor
60	audio/tram-prague-1086-40423-a.wav	transportation
61	audio/park-lyon-1012-42382-a.wav	outdoor
62	audio/shopping_mall-lyon-1043-42035-a.wav	indoor
63	audio/public_square-paris-117-3411-a.wav	outdoor
64	audio/street_pedestrian-lisbon-1098-43541-a.wav	outdoor
65	audio/tram-helsinki-183-5699-a.wav	transportation
66	audio/airport-lisbon-1000-42611-a.wav	indoor
67	audio/bus-stockholm-37-1102-a.wav	transportation
68	audio/airport-paris-8-357-a.wav	indoor
69	audio/metro_station-london-72-2063-a.wav	indoor
70	audio/shopping_mall-lisbon-1137-41160-a.wav	indoor
71	audio/public_square-vienna-122-3598-a.wav	outdoor
72	audio/park-london-97-2727-a.wav	outdoor
73	audio/park-stockholm-101-2859-a.wav	outdoor
74	audio/tram-barcelona-181-5623-a.wav	transportation
75	audio/bus-barcelona-16-640-a.wav	transportation
76	audio/bus-barcelona-16-649-a.wav	transportation
77	audio/street_pedestrian-stockholm-156-4722-a.wav	outdoor
78	audio/metro-paris-51-1526-a.wav	transportation
79	audio/shopping_mall-london-131-3930-a.wav	indoor
80	audio/metro-stockholm-56-1649-a.wav	transportation
81	audio/airport-prague-1015-43103-a.wav	indoor
82	audio/metro-prague-1113-43816-a.wav	transportation
83	audio/bus-lyon-1129-43309-a.wav	transportation
84	audio/airport-helsinki-3-147-a.wav	indoor
85	audio/metro-london-48-1489-a.wav	transportation
86	audio/street_traffic-barcelona-163-4977-a.wav	outdoor
87	audio/park-prague-1038-44008-a.wav	outdoor
88	audio/park-lyon-1012-43700-a.wav	outdoor
89	audio/metro-stockholm-56-1645-a.wav	transportation
90	audio/public_square-barcelona-108-3123-a.wav	outdoor
91	audio/metro-barcelona-42-1306-a.wav	transportation
92	audio/shopping_mall-prague-1009-43254-a.wav	indoor
93	audio/public_square-lyon-1024-41298-a.wav	outdoor
94	audio/park-stockholm-103-2923-a.wav	outdoor
95	audio/public_square-helsinki-111-3216-a.wav	outdoor
96	audio/street_traffic-lyon-1045-41330-a.wav	outdoor
97	audio/shopping_mall-barcelona-125-3731-a.wav	indoor
98	audio/shopping_mall-barcelona-125-3717-a.wav	indoor
99	audio/shopping_mall-paris-133-4030-a.wav	indoor
100	audio/shopping_mall-prague-1031-40056-a.wav	indoor
101	audio/tram-helsinki-184-5728-a.wav	transportation
102	audio/street_pedestrian-paris-153-4625-a.wav	outdoor
103	audio/metro-vienna-58-1716-a.wav	transportation
104	audio/airport-vienna-13-528-a.wav	indoor
105	audio/metro-london-46-1413-a.wav	transportation
106	audio/street_pedestrian-prague-1051-41593-a.wav	outdoor
107	audio/public_square-prague-1152-40549-a.wav	outdoor
108	audio/shopping_mall-barcelona-125-3699-a.wav	indoor
109	audio/metro-helsinki-43-1315-a.wav	transportation
110	audio/public_square-lisbon-1068-40977-a.wav	outdoor
111	audio/metro-paris-54-1584-a.wav	transportation
112	audio/street_pedestrian-lyon-1072-43072-a.wav	outdoor
113	audio/metro_station-lisbon-1020-40325-a.wav	indoor
114	audio/street_traffic-barcelona-163-4973-a.wav	outdoor
115	audio/street_traffic-london-169-5173-a.wav	outdoor
116	audio/bus-barcelona-15-621-a.wav	transportation
117	audio/public_square-prague-1075-41044-a.wav	outdoor
118	audio/street_traffic-vienna-178-5490-a.wav	outdoor
119	audio/bus-lisbon-1140-43779-a.wav	transportation
120	audio/shopping_mall-stockholm-136-4139-a.wav	indoor
121	audio/airport-london-5-246-a.wav	indoor
122	audio/street_pedestrian-vienna-160-4898-a.wav	outdoor
123	audio/metro-barcelona-42-1274-a.wav	transportation
124	audio/street_traffic-lyon-1110-41588-a.wav	outdoor
125	audio/street_traffic-lyon-1029-42079-a.wav	outdoor
126	audio/airport-barcelona-1-21-a.wav	indoor
127	audio/airport-barcelona-1-49-a.wav	indoor
